CTM_Average,CTM_Bad,CTM_Good,CA_Average,CA_Bad,CA_Good,AS_No,AS_Yes,LP_Average,LP_Bad,LP_Good,FES_No,FES_Yes,R_In_Dhaka_City,R_Outside_Dhaka_City,SH,SM,ECA_No,ECA_Yes,DA_No,DA_Yes,RS_NO,RS_Yes,FS_No,FS_Yes,FcS_No,FcS_Yes,PI_No,PI_Yes,RWF_Average,RWF_Bad,RWF_Good,JTF_No,JTF_Yes,LS,FYR
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,4,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,3.38,2.97
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,4,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,3.46,1.57
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,4,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,3,2.19
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,5,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,3,2.66
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,4,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,3,2.34
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,2,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,3.33,3.26
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,2,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,2.57,2.23
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,3,3,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,3,2.34
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,2.76,2.52
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,4,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,3,2.13
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,4,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,3,2.34
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,5,0.5,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,2.75,2.77
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,6,0.3,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,2,2.48
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,3,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,3.33,2.34
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,4,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,3.37,3.13
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,4,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,3.02,3.16
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,6,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,3.57,2.25
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,3,4,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,3.31,3.41
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,3,3,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,2.75,2.34
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,4,3,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,3,3.04
1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,2,3,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,2.1,2.2
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,4,3,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,3,3.35
0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,2,3,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,3.5,1.14
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,3,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,2.75,2.34
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,2,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,2.75,2.43
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,2,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,2.5,1.84
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,2,3,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,2.4,2.43
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,2,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,2.4,1.63
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,2.4,2.34
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,2.5,3.1
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,2.5,2.12
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,2.3,2.71
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,2,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,3.1,2.34
