CTM,CA,AS,LP,FES,Resi,ECA,DA,RS,FS,FcS,PI,RWF,JTF,SH,SM,LS,FYR
Average,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,Yes,No,Good,Yes,2,3,2.1,2.2
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,Yes,No,Good,Yes,4,3,3,3.35
Bad,Good,Yes,Average,Yes,In Dhaka City,Yes,No,No,Yes,No,No,Good,No,2,3,3.5,1.14
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,Yes,No,Yes,No,No,Good,No,2,3,2.75,2.9
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,No,Yes,No,No,Good,No,2,2,2.75,2.43
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,No,No,Good,No,2,2,2.5,1.84
Average,Average,Yes,Average,Yes,In Dhaka City,Yes,No,Yes,Yes,No,No,Average,Yes,2,3,2.4,2.43
Average,Average,Yes,Average,Yes,In Dhaka City,No,No,No,Yes,No,No,Average,No,2,2,2.4,1.63
Average,Average,Yes,Average,Yes,In Dhaka City,No,No,No,Yes,No,No,Average,No,1,2,2.4,2.41
Average,Average,Yes,Average,Yes,In Dhaka City,No,No,No,Yes,No,No,Average,No,1,2,2.5,3.1
Average,Average,Yes,Average,Yes,In Dhaka City,No,No,No,Yes,No,No,Average,No,1,2,2.5,2.12
Average,Average,Yes,Average,Yes,In Dhaka City,No,No,No,Yes,No,No,Average,No,1,2,2.1,2.71
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,No,Yes,No,Average,No,2,2,3.1,3.21
